AAL	American Airlines "American"
TWB	Tway Air "TEEWAY" (South Korea)
CLH	Lufthansa Cityline "Hansaline"
TLM	Thai Lion "Mentari" (Thailand)
IBS	Iberia Express "Iberexpres" (Spain)
CSC	Sichuan Airlines "Chuanhang"
SKV	Sky Regional "Maple"
XOJ	XOJET "XOJET" (Brisbane, CA)
UCA	CommutAir "Commutair" (Plattsburgh, NY)
NRS	Norwegian Air "REDNOSE" (Gatwick)
ELY	El Al "Elal" (Israel)
WOW	Wow Air "WOW AIR" (Reykjavík, Iceland)
LXJ	Flexjet "FLEXJET" (Richardson, TX)
DCM	fltplan.com "DOTCOM" (Southbury, CT)
GAJ	Wheels Up - Gama Aviation "Gama Jet" (Stratford, CT)
DAH	Air Algerie "Air Algerie" (Algiers, Algeria)
SKU	Sky Airline "AEROSKY"
BEL	Brussels Airlines "BEELINE" (Diegem, Machelen)
BTK	Batik Air "BATIK" (Jakarta, Indonesia)
EWG	Eurowings "Eurowings" (Düsseldorf)
KZR	Air Astana "ASTANALINE" (Kazakhstan)
CNS	Cobalt Air "CHRONOS" (Portsmouth, NH)
KAC	Kuwait Airways Corporation "Kuwaiti" (Kuwait)
TCX	Thomas Cook "KESTREL" (UK)
MEA	Middle East Airlines - Air Liban "Cedar Jet" (Liban)
TRA	Transavia Holland B.v. "Transavia" (Netherlands)
KAP	Cape Air "Cair" (Barnstable, Massachusetts)
SEJ	SpiceJet "SPICEJET" (Gurgaon, India)
JON	Joon "JOON" (Paris)
KTK	Azur Air "Katekavia" (Krasnoyarsk, Russia)
AIQ	Thai AirAsia "THAI ASIA" (Bangkok, Thailand)
ANE	Air Nostrum "NOSTRU AIR" (Valencia)
GLP	Globus "GLOBUS" (Moscow, Russia)
RLK	Air Nelson "LINK" (Nelson, New Zealand)
MSR	Egypt Air "Egyptair" (Egypt)
PDT	Piedmont "Piedmont" (Salisbury, Maryland)
KNE	Flynas "NAS EXPRESS" (Riyadh)
TSC	Air Transat "Transat" (Canada)
CXA	XiamenAir "Xiamen Air" (Xiamen, Fujian, China)
BOE	Boeing "Boeing" (Seattle, WA)
ESR	Eastarjet "Excelsior"
LNI	Lion Air (Indonesia)
PIA	Pakistan International Airlines Corporation (PIA) "Pakistan" (Pakistan)
ARE	LAN Colombia "LAN Colombia" (Bogata)
CSA	Czech Airlines "Csa-lines" (Czech Republic)
CRK	Hong Kong Airlines "Bauhinia" (Hong Kong)
CSS	SF Airlines "SHUN FENG"
JAF	TUI Fly "Beauty" (Belgium)
AAY	Allegiant Air "Allegiant"
PGA	Portugalia "Portugalia"
GMI	Germania Fluggesellschaft Koln "Germania"
ATN	Air Transport International Llc "Air Transport" (Little Rock, Arkansas)
LGL	Luxair "Luxair" (Luxembourg)
ROT	TAROM "TAROM"
BWA	Caribbean Airlines "Caribbean Airlines" (Trinidad And Tobago)
CKS	Kalitta Air "Connie" (Ypsilanti, MI)
FJI	Fiji Airways "Fiji" (Fiji)
UZB	Uzbekistan Airways "Uzbek" (Uzbekistan)
ABL	Air Busan "AIR BUSAN" (Beomcheon-dong Busanjin-gu Busan)
BCY	Cityjet "City-Ireland"
TAX	Thai AirAsia X "EXPRESS WING" (Bangkok, Thailand)
BBC	Bangladesh Biman "Bangladeshi" (Bangladesh)
TAR	Tunis Air "Tunair" (Tunisia)
KQA	Kenya Airways "Kenya"
CLX	Cargolux Airlines International "Cargolux" (Luxembourg)
