AAL	American Airlines "American"
EGC	FIRST WING AIRCRAFT CHARTER AND MAINTENANCE "EAGLE CREEK" (UNITED STATES)
HFY	Hi Fly "SKY FLYER" (Portugal)
LRC	Lineas Aereas Costarricenses (LACSA) "Lacsa" (Costa Rica)
IRC	Iran Asseman Airlines
CFL	Swedish Airlines "Swedish"
IRO	Csa Air "Iron Air"
SDU	Dumont "Santos" (New Castle, DE)
MWT	Midwest Aviation Division "Midwest"
FET	Old Dominion Freight Line "FREIGHT LINE" (UNITED STATES)
TTE	Avcenter "Teton"
XLF	XL Airways France "Starway" (France)
GTH	Meridian Air Charter "Gotham"
FSR	Flightstar Corp "Flightstar"
NOK	Nok "Nok Air" (Thailand)
RAG	Xstrata Canada Corporation "Raglan"
ACI	Air Caledonie International "Aircalin"
SIS	Silver Air "Silver Speed" (Fresno, California)
VTS	Everts Air Cargo "Everts" (Fairbanks, AK)
PLR	Northwestern Air Lease Ltd. "Polaris" (Canada)
BKS	Aviaexpress Cruise "Aviacruise"
VAS	Atran-Aviatrans Cargo "Atran"
CGM	Cargoman Limited "Hotel Charlie"
CLU	Cargologicair
SHE	Shell Aircraft "Shell" (United Kingdom)
WWW	Janet "Janet" (Las Vegas, NV)
CFJ	Fujian "Fujian"
CFN	Church Fenton Ftu "Church Fenton"
SLQ	Skylink Express "SKYLINK" (Toronto, ON)
CFT	Jet Freighters "Casper Freight"
KDC	KD Air "Kay Dee" (Canada)
JTL	Jet Linx Aviation LLC "Jetlinx" (Omaha, Nebraska)
JDC	Deere And Company "John Deere" (Moline, IL)
	IDX	Indonesia AirAsia X "Red Phoenix" (Jakarta)
